index,country,income_cat,n,c,axfin,gamma_SP,k,fa,v,shew,iso3,avg_prod_k
152,Morocco,nonpoor,0.8,8141.242429000001,0.1725484,1.088873033,30556.72248,0.026899305,0.210652812,0.8,MAR,0.26926
153,Morocco,poor,0.2,2271.326514,0.05141593,0.6445078679999999,7152.478020999999,0.019286294,0.7,0.8,MAR,0.26926
154,Nepal,nonpoor,0.8,2491.375783,0.1267821,1.191428508,9030.374545,0.07678723,0.398765875,0.4,NPL,0.2702
155,Nepal,poor,0.2,898.4488269,0.05736111,0.234285969,4085.682026,0.025984399,0.7,0.4,NPL,0.2702
156,Netherlands,nonpoor,0.8,51549.22523,0.6205978,1.114950228,206904.3716,0.016612799999999997,0.2597572,1.0,NLD,0.25251999999999997
157,Netherlands,poor,0.2,18908.88611,0.5146725000000001,0.5401990879999999,63820.34316,0.020253822,0.3,1.0,NLD,0.25251999999999997
158,Niger,nonpoor,0.8,1009.189338,0.0181079,1.142528316,4319.171241,0.17108386,0.10399855,0.6,NER,0.23359000000000002
159,Niger,poor,0.2,397.2907059,0.002041873,0.429886735,1705.3094609999996,0.09508989,0.7,0.6,NER,0.23359000000000002
160,Nigeria,nonpoor,0.8,6413.012714,0.33685740000000003,1.211822976,7339.137318000001,0.024179081,0.6734349000000001,0.8,NGA,0.87364
161,Nigeria,poor,0.2,1461.415856,0.08466024,0.152708096,1678.3482789999996,0.042243911,0.7,0.8,NGA,0.87364
162,Pakistan,nonpoor,0.8,5033.661316,0.01669716,1.189226524,13256.81794,0.039271226,0.52089405,0.6,PAK,0.37672
163,Pakistan,poor,0.2,2135.72888,0.01097432,0.243093902,6089.6594399999985,0.047878287,0.7,0.6,PAK,0.37672
164,Panama,nonpoor,0.8,22740.005930000007,0.13441370000000002,1.221730503,41994.00672,0.003833541,0.6764212740000001,0.6,PAN,0.5402399999999999
165,Panama,poor,0.2,3006.942933,0.1099336,0.113077988,5958.695179,0.004673736,0.7,0.6,PAN,0.5402399999999999
166,Paraguay,nonpoor,0.8,9393.813996,0.14778729999999998,1.188728882,25558.30147,0.046225111,0.371986975,0.8,PRY,0.36827
167,Paraguay,poor,0.2,1590.114022,0.02127697,0.24508447100000005,4115.473914,0.056356253,0.7,0.8,PRY,0.36827
168,Peru,nonpoor,0.8,13644.45127,0.1296312,1.185333009,50583.27732,0.052517261,0.143717125,0.6,PER,0.2702
169,Peru,poor,0.2,2404.660027,0.01947264,0.258667964,8557.876876999999,0.023860849,0.5818234999999999,0.6,PER,0.2702
170,Philippines,nonpoor,0.8,7442.0028459999985,0.22188520000000006,1.18867983,27111.59144,0.049224386,0.222974634,0.6,PHL,0.27366
171,Philippines,poor,0.2,1863.070737,0.0353108,0.24528068,7140.154434,0.042055786,0.3,0.6,PHL,0.27366
172,Poland,nonpoor,0.8,26291.90196,0.2018166,1.132043428,64683.55006,0.045819844000000005,0.125977592,1.0,POL,0.4132
173,Poland,poor,0.2,9008.494472,0.1469539,0.471826289,17585.68125,0.055862163,0.434214596,1.0,POL,0.4132
174,Romania,nonpoor,0.8,20704.88195,0.1082912,1.114499376,78245.7345,0.036024198,0.3258363,0.8,ROU,0.26775
175,Romania,poor,0.2,8101.020886,0.05476748,0.542002497,26592.09457,0.043919609000000005,0.7,0.8,ROU,0.26775
176,Russian Federation,nonpoor,0.8,27552.4499,0.13612979999999994,1.079412379,81060.33748,0.05730208,0.143917896,0.0,RUS,0.34915999999999997
177,Russian Federation,poor,0.2,7611.2390989999985,0.06942263,0.6823504859999999,13197.14544,0.069860957,0.602067138,0.0,RUS,0.34915999999999997
178,Rwanda,nonpoor,0.8,1690.957234,0.1783742,1.148481037,2374.803905,0.045538063,0.6825,0.8,RWA,0.71258
179,Rwanda,poor,0.2,368.0025022,0.1784206,0.406075853,509.2792625,0.008383576,0.7,0.8,RWA,0.71258
180,Senegal,nonpoor,0.8,2548.75568,0.04644672,1.209407077,11177.41841,0.012627567,0.685,0.6,SEN,0.22621
181,Senegal,poor,0.2,655.3633165,0.02342184,0.162371693,3256.290133,0.008913576999999999,0.7,0.6,SEN,0.22621
182,Serbia,nonpoor,0.8,14766.74295,0.04309804,1.121834853,67667.10183,0.12826135800000002,0.441348722,0.4,SRB,0.22011999999999998
183,Serbia,poor,0.2,5395.509702,0.01452239,0.51266059,22182.53188,0.156372354,0.7,0.4,SRB,0.22011999999999998
184,Sierra Leone,nonpoor,0.8,1722.395621,0.2132186,1.188658839,4228.007454,0.058077544,0.6734349000000001,0.8,SLE,0.40687
185,Sierra Leone,poor,0.2,583.6602581000002,0.04347975,0.245364644,1455.793745,0.118611539,0.7,0.8,SLE,0.40687
186,Slovak Republic,nonpoor,0.8,29419.84099,0.4171376,1.115422431,96957.33072,0.045128071,0.441433226,0.8,SVK,0.3059
187,Slovak Republic,poor,0.2,11114.94923,0.2975634,0.538310276,33202.12232,0.055018775,0.7,0.8,SVK,0.3059
188,Slovenia,nonpoor,0.8,30881.56111,0.3523933,1.041023663,145703.6208,0.009642614,0.343029088,1.0,SVN,0.22134
189,Slovenia,poor,0.2,13314.61569,0.200224,0.8359053479999999,35429.7063,0.011755983,0.7,1.0,SVN,0.22134
190,South Africa,nonpoor,0.8,15186.32906,0.27751079999999995,1.039486084,37488.97864,0.007575892,0.641600854,0.6,ZAF,0.41222
191,South Africa,poor,0.2,1525.638388,0.13653189999999998,0.842055665,1107.177682,0.009236297,0.7,0.6,ZAF,0.41222
192,Spain,nonpoor,0.8,37460.76708,0.4078074,1.168099773,206596.9049,0.027366199,0.1,0.8,ESP,0.183
193,Spain,poor,0.2,8570.155402,0.2691136,0.327600909,39261.73839,0.03336404,0.105,0.8,ESP,0.183
